SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
01/04/2020,1,18,6,6,10,7,7,0,0,5
01/04/2020,2,19,6,3,9,6,6,0,0,9
01/04/2020,3,20,8,3,9,6,6,0,0,13
01/04/2020,4,21,7,4,11,5,5,2,1,16
01/04/2020,5,22,8,4,11,5,5,2,1,16
01/04/2020,6,22,9,5,12,4,4,2,1,18
01/04/2020,7,23,10,5,10,3,3,6,3,21
01/04/2020,8,23,10,6,12,2,2,4,2,25
01/04/2020,9,24,10,5,16,1,1,6,3,28
01/04/2020,10,24,10,5,17,1,1,8,4,29
01/04/2020,11,25,11,4,17,1,1,8,4,25
01/04/2020,12,26,12,4,16,1,1,12,6,23
01/04/2020,13,27,14,6,17,1,1,12,6,22
01/04/2020,14,27,16,6,18,1,1,14,7,21
01/04/2020,15,28,20,6,18,1,1,16,8,17
01/04/2020,16,28,25,6,20,1,1,10,5,16
01/04/2020,17,29,29,10,21,1,1,8,4,14
01/04/2020,18,29,32,14,24,2,2,10,5,12
01/04/2020,19,30,38,15,30,2,2,14,7,11
01/04/2020,20,30,36,17,32,2,2,14,7,11
01/04/2020,21,30,42,18,29,1,1,16,8,9
01/04/2020,22,31,41,21,34,0,0,16,8,5
01/04/2020,23,32,49,21,43,0,0,16,8,3
01/04/2020,24,32,52,24,45,0,0,18,9,2
01/04/2020,25,32,56,25,62,0,0,16,8,1
01/04/2020,26,32,60,25,65,0,0,12,6,0
01/04/2020,27,32,62,29,70,0,0,6,3,0
01/04/2020,28,32,63,29,72,0,0,8,4,0
01/04/2020,29,32,69,29,72,0,0,6,3,0
01/04/2020,30,31,66,31,75,1,1,8,4,0
01/04/2020,31,31,71,28,77,1,1,10,5,0
01/04/2020,32,31,71,28,75,1,1,6,3,0
01/04/2020,33,30,76,30,63,1,1,4,2,0
01/04/2020,34,30,74,29,65,1,1,6,3,0
01/04/2020,35,29,67,25,60,1,1,4,2,0
01/04/2020,36,28,63,21,54,2,2,2,1,0
01/04/2020,37,28,64,29,61,1,1,2,1,1
01/04/2020,38,27,60,25,55,2,2,2,1,3
01/04/2020,39,27,62,31,51,2,2,4,2,7
01/04/2020,40,27,59,23,46,3,3,2,1,13
01/04/2020,41,27,54,23,41,2,2,2,1,35
01/04/2020,42,26,56,18,45,2,2,4,2,45
01/04/2020,43,27,52,21,64,2,2,6,3,54
