SettlementDate,SettlementPeriod,PGCErrorPrice(£/MWh)
01/04/2020,1,5.830733333
01/04/2020,2,4.965933333
01/04/2020,3,4.110377778
01/04/2020,4,5.3766
01/04/2020,5,6.625711111
01/04/2020,6,6.167333333
01/04/2020,7,6.204733333
01/04/2020,8,7.6384
01/04/2020,9,6.3668
01/04/2020,10,7.501266667
01/04/2020,11,-37.64073333
01/04/2020,12,-38.25673333
01/04/2020,13,-39.54006667
01/04/2020,14,5.8386
01/04/2020,15,6.043933333
01/04/2020,16,6.092533333
01/04/2020,17,8.1994
01/04/2020,18,7.625933333
01/04/2020,19,8.112133333
01/04/2020,20,-45.56317778
01/04/2020,21,-44.09162222
01/04/2020,22,-51.17562222
01/04/2020,23,13.12373333
01/04/2020,24,13.1362
01/04/2020,25,13.85926667
01/04/2020,26,15.20566667
01/04/2020,27,16.2404
01/04/2020,28,17.49953333
01/04/2020,29,16.6518
01/04/2020,30,13.33566667
01/04/2020,31,11.95186667
01/04/2020,32,11.47813333
01/04/2020,33,6.779711111
01/04/2020,34,5.8432
01/04/2020,35,9.446066667
01/04/2020,36,6.4546
01/04/2020,37,5.2074
01/04/2020,38,6.882377778
01/04/2020,39,9.446066667
01/04/2020,40,4.4526
01/04/2020,41,4.640822222
01/04/2020,42,8.548466667
01/04/2020,43,8.523533333
01/04/2020,44,6.603666667
01/04/2020,45,6.8156
01/04/2020,46,6.865266667
01/04/2020,47,-19.4174
01/04/2020,48,-0.441177778
02/04/2020,1,10.41846667
02/04/2020,2,5.294666667
02/04/2020,3,3.460155556
02/04/2020,4,5.344533333
02/04/2020,5,12.5004
02/04/2020,6,-14.86584444
02/04/2020,7,12.86193333
02/04/2020,8,-28.0414
02/04/2020,9,1.269933333
02/04/2020,10,2.809933333
02/04/2020,11,-0.372733333
02/04/2020,12,-0.424066667
02/04/2020,13,-36.61406667
02/04/2020,14,-13.18895556
02/04/2020,15,14.2208
02/04/2020,16,11.80226667
02/04/2020,17,-2.049622222
02/04/2020,18,-19.48584444
02/04/2020,19,-18.47628889
02/04/2020,20,-32.01117778
02/04/2020,21,-22.29206667
02/04/2020,22,-1.570511111
02/04/2020,23,25.5156
02/04/2020,24,21.41406667
02/04/2020,25,19.9804
02/04/2020,26,-20.3414
02/04/2020,27,-19.7254
02/04/2020,28,-26.92917778
02/04/2020,29,7.139733333
02/04/2020,30,5.381933333
02/04/2020,31,-0.646511111
02/04/2020,32,12.00173333
02/04/2020,33,9.907333333
02/04/2020,34,11.76486667
02/04/2020,35,10.71766667
02/04/2020,36,9.3214
02/04/2020,37,6.242133333
02/04/2020,38,4.657933333
02/04/2020,39,7.139733333
02/04/2020,40,7.700733333
02/04/2020,41,1.030377778
02/04/2020,42,3.237711111
02/04/2020,43,3.443044444
02/04/2020,44,1.133044444
02/04/2020,45,6.167333333
02/04/2020,46,9.9946
02/04/2020,47,15.2306
02/04/2020,48,-14.71184444
03/04/2020,1,-21.04295556
03/04/2020,2,14.5574
03/04/2020,3,10.5182
03/04/2020,4,11.81473333
03/04/2020,5,8.934933333
03/04/2020,6,5.481666667
03/04/2020,7,-26.91206667
03/04/2020,8,-0.441177778
03/04/2020,9,-0.441177778
03/04/2020,10,-0.441177778
03/04/2020,11,7.975
03/04/2020,12,8.349
03/04/2020,13,10.11926667
03/04/2020,14,6.3006
03/04/2020,15,-48.19828889
03/04/2020,16,15.65446667
03/04/2020,17,7.812933333
03/04/2020,18,6.715866667
03/04/2020,19,7.127266667
03/04/2020,20,6.095266667
03/04/2020,21,2.501933333
03/04/2020,22,6.865266667
03/04/2020,23,-42.34628889
03/04/2020,24,8.9848
03/04/2020,25,-27.54517778
03/04/2020,26,-25.21806667
03/04/2020,27,-19.48584444
03/04/2020,28,-19.55428889
03/04/2020,29,-17.02184444
03/04/2020,30,-20.11895556
03/04/2020,31,-16.97051111
03/04/2020,32,-17.60362222
03/04/2020,33,-26.15917778
03/04/2020,34,14.02133333
03/04/2020,35,11.9768
03/04/2020,36,8.211866667
03/04/2020,37,10.30626667
03/04/2020,38,9.869933333
03/04/2020,39,11.3784
03/04/2020,40,-35.96384444
03/04/2020,41,-35.75851111
03/04/2020,42,-31.25828889
03/04/2020,43,-29.47873333
03/04/2020,44,-24.36251111
03/04/2020,45,26.27606667
03/04/2020,46,17.2128
03/04/2020,47,-6.755177778
03/04/2020,48,-5.180955556
04/04/2020,1,-14.54073333
04/04/2020,2,-0.697844444
04/04/2020,3,25.75246667
04/04/2020,4,18.75866667
04/04/2020,5,15.2306
04/04/2020,6,10.75506667
04/04/2020,7,14.04626667
04/04/2020,8,13.68473333
04/04/2020,9,13.67226667
04/04/2020,10,14.07618667
04/04/2020,11,12.9866
04/04/2020,12,11.4906
04/04/2020,13,5.479266667
04/04/2020,14,4.093266667
04/04/2020,15,2.091266667
04/04/2020,16,1.081711111
04/04/2020,17,1.321266667
04/04/2020,18,0.739488889
04/04/2020,19,-2.870955556
04/04/2020,20,-2.6314
04/04/2020,21,-30.86473333
04/04/2020,22,-26.41584444
04/04/2020,23,-24.43095556
04/04/2020,24,-25.2694
04/04/2020,25,-11.28962222
04/04/2020,26,-6.977622222
04/04/2020,27,-5.386288889
04/04/2020,28,-14.19851111
04/04/2020,29,-23.48984444
04/04/2020,30,-20.25584444
04/04/2020,31,-17.31273333
04/04/2020,32,26.88693333
04/04/2020,33,12.837
04/04/2020,34,12.89933333
04/04/2020,35,15.24306667
04/04/2020,36,15.7542
04/04/2020,37,9.608133333
04/04/2020,38,10.28133333
04/04/2020,39,9.034666667
04/04/2020,40,11.21633333
04/04/2020,41,11.88953333
04/04/2020,42,14.8192
04/04/2020,43,12.06406667
04/04/2020,44,17.699
04/04/2020,45,27.049
04/04/2020,46,5.393711111
04/04/2020,47,-5.985177778
04/04/2020,48,-15.75562222
05/04/2020,1,-20.1874
05/04/2020,2,-7.046066667
05/04/2020,3,36.74806667
05/04/2020,4,-18.28806667
05/04/2020,5,31.3874
05/04/2020,6,32.42213333
05/04/2020,7,31.62426667
05/04/2020,8,22.9724
05/04/2020,9,33.04546667
05/04/2020,10,38.269
05/04/2020,11,41.4854
05/04/2020,12,23.70793333
05/04/2020,13,23.37133333
05/04/2020,14,24.78006667
05/04/2020,15,44.39013333
05/04/2020,16,-22.37762222
05/04/2020,17,-12.43606667
05/04/2020,18,-28.57184444
05/04/2020,19,-2.870955556
05/04/2020,20,-1.125622222
05/04/2020,21,-16.85073333
05/04/2020,22,-24.17428889
05/04/2020,23,-9.595622222
05/04/2020,24,10.79246667
05/04/2020,25,5.593866667
05/04/2020,26,64.88533333
05/04/2020,27,-66.02806667
05/04/2020,28,-44.12584444
05/04/2020,29,67.05453333
05/04/2020,30,-51.96273333
05/04/2020,31,11.21633333
05/04/2020,32,51.8078
05/04/2020,33,41.80953333
05/04/2020,34,30.98846667
05/04/2020,35,36.14966667
05/04/2020,36,31.63673333
05/04/2020,37,28.64473333
05/04/2020,38,31.3126
05/04/2020,39,29.67946667
05/04/2020,40,30.8638
05/04/2020,41,20.34193333
05/04/2020,42,-43.93762222
05/04/2020,43,-47.18873333
05/04/2020,44,-128.3980667
05/04/2020,45,-120.2189556
05/04/2020,46,-50.64517778
05/04/2020,47,-0.441177778
05/04/2020,48,-0.441177778
06/04/2020,1,17.41226667
06/04/2020,2,14.12106667
06/04/2020,3,7.052466667
06/04/2020,4,-0.441177778
06/04/2020,5,-7.798955556
06/04/2020,6,-0.150288889
06/04/2020,7,-37.33273333
06/04/2020,8,10.58053333
06/04/2020,9,-26.56984444
06/04/2020,10,39.41593333
06/04/2020,11,9.595666667
06/04/2020,12,3.271933333
06/04/2020,13,20.14246667
06/04/2020,14,23.122
06/04/2020,15,27.36066667
06/04/2020,16,-21.5734
06/04/2020,17,-27.4254
06/04/2020,18,-0.424066667
06/04/2020,19,-0.441177778
06/04/2020,20,-0.441177778
06/04/2020,21,-0.441177778
06/04/2020,22,-0.441177778
06/04/2020,23,17.18786667
