FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43922,1,17,2,3,6,12,12,0,0,5
2020/21,43922,2,19,2,5,11,11,11,0,0,2
2020/21,43922,3,19,2,5,15,8,8,2,1,2
2020/21,43922,4,22,2,6,14,6,6,4,2,2
2020/21,43922,5,24,4,5,13,4,4,4,2,2
2020/21,43922,6,29,6,6,14,3,3,8,4,3
2020/21,43922,7,29,9,9,13,1,1,8,4,5
2020/21,43922,8,28,15,5,14,2,2,10,5,10
2020/21,43922,9,29,18,5,14,1,1,12,6,9
2020/21,43922,10,29,23,40,13,1,1,16,8,5
2020/21,43922,11,29,25,8,14,1,1,16,8,2
2020/21,43922,12,27,24,12,19,1,1,12,6,1
2020/21,43922,13,29,21,9,23,4,4,6,3,1
2020/21,43922,14,30,27,9,20,4,4,4,2,21
2020/21,43922,15,30,22,11,18,4,4,6,3,1
2020/21,43922,16,30,37,9,27,1,1,10,5,1
2020/21,43922,17,29,36,12,36,1,1,12,6,2
2020/21,43922,18,25,39,13,36,2,2,14,7,4
2020/21,43922,19,25,38,16,57,2,2,14,7,6
2020/21,43922,20,29,47,18,60,2,2,18,9,5
2020/21,43922,21,6,52,24,64,1,1,18,9,4
2020/21,43922,22,31,52,24,71,0,0,14,7,3
2020/21,43922,23,49,50,24,73,0,0,12,6,5
2020/21,43922,24,30,66,31,82,0,0,8,4,5
2020/21,43922,25,30,70,26,86,0,0,10,5,4
2020/21,43922,26,15,85,24,82,0,0,10,5,5
2020/21,43922,27,21,78,30,66,0,0,12,6,6
2020/21,43922,28,31,74,37,76,0,0,12,6,3
2020/21,43922,29,31,64,32,74,0,0,8,4,2
2020/21,43922,30,32,77,39,84,1,1,6,3,8
2020/21,43922,31,32,76,44,36,1,1,6,3,16
2020/21,43922,32,31,86,50,75,1,1,4,2,25
2020/21,43922,33,30,79,50,45,1,1,2,1,5
2020/21,43922,34,5,73,52,64,2,2,6,3,0
2020/21,43922,35,29,83,40,60,2,2,4,2,0
2020/21,43922,36,27,77,36,5,2,2,2,1,0
2020/21,43922,37,25,69,34,65,2,2,2,1,1
2020/21,43922,38,23,72,18,58,3,3,2,1,3
2020/21,43922,39,19,71,7,41,3,3,2,1,8
2020/21,43922,40,21,55,4,40,4,4,6,3,35
2020/21,43922,41,28,37,4,44,6,6,10,5,51
2020/21,43922,42,31,35,7,48,4,4,10,5,54
2020/21,43922,43,26,57,8,67,2,2,6,3,48
2020/21,43922,44,29,59,12,60,2,2,10,5,44
2020/21,43922,45,30,68,23,69,1,1,18,9,38
2020/21,43922,46,31,64,23,54,1,1,22,11,36
2020/21,43922,47,31,57,22,61,1,1,26,13,41
2020/21,43922,48,31,71,19,64,3,3,22,11,54
2020/21,43923,1,33,85,17,79,1,1,18,9,51
2020/21,43923,2,33,79,21,58,2,2,18,9,39
2020/21,43923,3,33,81,17,27,2,2,20,10,46
2020/21,43923,4,34,68,22,88,2,2,20,10,54
2020/21,43923,5,33,59,12,12,3,3,20,10,62
2020/21,43923,6,5,56,16,96,4,4,24,12,81
2020/21,43923,7,33,82,21,84,4,4,24,12,80
2020/21,43923,8,28,75,21,51,7,7,24,12,70
2020/21,43923,9,33,71,23,12,5,5,26,13,51
2020/21,43923,10,33,70,260,92,3,3,34,17,75
2020/21,43923,11,33,82,23,99,3,3,34,17,91
2020/21,43923,12,28,80,27,122,6,6,38,19,93
2020/21,43923,13,33,82,26,97,8,8,48,24,79
2020/21,43923,14,33,91,35,118,10,10,64,32,56
2020/21,43923,15,32,88,74,34,9,9,74,37,68
2020/21,43923,16,17,90,72,79,7,7,80,40,86
2020/21,43923,17,33,87,58,99,8,8,80,40,84
2020/21,43923,18,11,0,57,113,9,9,86,43,92
2020/21,43923,19,28,81,49,134,13,13,84,42,94
2020/21,43923,20,33,67,52,127,11,11,88,44,98
2020/21,43923,21,33,91,46,130,11,11,88,44,99
2020/21,43923,22,33,55,55,119,15,15,86,43,100
2020/21,43923,23,33,21,54,117,17,17,86,43,100
2020/21,43923,24,22,91,52,103,18,18,88,44,101
2020/21,43923,25,27,91,51,118,20,20,88,44,103
2020/21,43923,26,33,39,49,126,22,22,88,44,103
2020/21,43923,27,23,55,50,112,16,16,88,44,103
2020/21,43923,28,33,91,50,105,12,12,88,44,101
2020/21,43923,29,33,21,48,93,12,12,88,44,102
2020/21,43923,30,33,94,50,74,19,19,88,44,103
